brand,model,year,transmission,mileage,fuelType,engineSize,price
8,75,2016,1,24089,4,2.0,16000
8,75,2017,1,18615,4,2.0,15995
8,75,2015,1,27469,4,2.0,13998
8,75,2017,1,14736,4,2.0,18998
8,75,2017,1,36284,4,2.0,17498
8,75,2017,1,26919,4,2.0,15998
8,75,2017,1,10456,4,2.0,18522
8,75,2017,1,12340,4,2.0,18995
8,75,2020,1,516,4,2.0,27998
8,75,2016,1,37999,4,2.0,13990
8,75,2013,1,72000,4,2.0,10495
8,75,2017,1,12597,4,2.0,17990
8,75,2017,1,36100,4,2.0,16995
8,75,2019,1,995,4,2.0,23995
8,75,2018,1,35228,4,2.0,18498
8,75,2019,1,1751,4,2.0,23980
8,75,2017,1,16444,4,2.0,17995
8,75,2014,1,25499,4,2.0,12998
8,75,2019,0,3934,4,2.0,23495
8,75,2019,1,5123,4,2.0,25780
8,75,2020,3,1500,4,2.0,26995
8,75,2019,3,913,4,2.0,23998
8,75,2019,1,2680,4,2.0,26995
8,75,2017,1,14345,4,2.0,17000
8,75,2018,1,15525,4,2.0,19995
8,75,2020,1,3000,4,2.0,31000
8,75,2016,3,19460,4,2.0,15995
8,75,2018,1,31231,4,2.0,18490
8,75,2020,1,339,4,2.0,24990
8,75,2015,1,30500,4,2.0,13981
8,75,2015,1,38126,4,2.0,13991
8,75,2019,0,3348,4,2.0,27060
8,75,2018,1,5260,4,2.0,20695
8,75,2019,1,100,4,2.0,25999
8,75,2013,1,50584,4,2.0,11575
8,75,2017,1,6445,4,2.0,20995
8,75,2014,1,18389,4,2.0,14999
8,75,2019,3,100,4,2.0,27000
8,75,2016,1,28321,4,2.0,15000
8,75,2019,3,16241,4,2.0,22200
8,75,2019,1,3150,4,2.0,24990
8,75,2019,1,8912,4,2.0,25995
8,75,2017,1,9639,4,2.0,19500
8,75,2017,1,20219,4,2.0,18250
8,75,2019,1,1557,4,2.0,23995
8,75,2016,1,14000,4,2.0,17500
8,75,2019,1,4500,4,2.0,23997
8,75,2017,1,21000,4,2.0,17102
8,75,2019,1,2488,4,2.0,24995
8,75,2017,1,26000,4,2.0,19995
8,75,2020,1,999,4,2.0,29769
8,75,2019,1,4442,4,2.0,25850
8,75,2014,1,24667,4,2.0,13495
8,75,2017,3,13930,4,2.0,18495
8,75,2020,1,614,4,2.0,25499
8,75,2017,1,18544,4,2.0,18621
8,75,2019,1,7056,4,2.0,25121
8,75,2017,1,11898,4,2.0,17500
8,75,2013,0,28335,4,2.0,11599
8,75,2017,1,10089,4,2.0,17249
8,75,2020,1,3250,4,2.0,25995
8,75,2014,1,39761,4,2.0,13000
